iter	Passed	Remaining
151	1165	6503
152	1172	6492
153	1177	6469
154	1183	6450
155	1190	6440
156	1195	6416
157	1200	6396
158	1205	6374
159	1209	6348
160	1218	6349
161	1223	6328
162	1228	6310
163	1236	6301
164	1241	6282
165	1248	6270
166	1252	6246
167	1256	6224
168	1260	6200
169	1267	6189
170	1272	6169
171	1277	6149
172	1282	6129
173	1288	6114
174	1292	6092
175	1298	6080
176	1305	6068
177	1312	6059
178	1316	6039
179	1321	6019
180	1326	6003
181	1331	5982
182	1335	5961
183	1339	5941
184	1345	5927
185	1349	5907
186	1354	5886
187	1360	5875
188	1364	5855
189	1369	5836
190	1375	5824
191	1380	5808
192	1384	5789
193	1390	5777
194	1395	5758
195	1399	5741
196	1408	5741
197	1413	5723
198	1417	5707
199	1426	5704
200	1432	5694
201	1439	5688
202	1445	5675
203	1449	5657
204	1456	5646
205	1460	5629
206	1465	5612
207	1471	5602
208	1476	5587
209	1481	5572
210	1486	5559
211	1491	5543
212	1496	5530
213	1502	5518
214	1507	5502
215	1511	5486
216	1517	5475
217	1521	5458
218	1527	5449
219	1533	5435
220	1537	5420
221	1541	5403
222	1546	5387
223	1552	5376
224	1556	5361
225	1560	5344
226	1566	5334
227	1570	5319
228	1574	5302
229	1580	5292
230	1587	5286
231	1592	5271
232	1598	5262
233	1602	5246
234	1607	5232
235	1614	5228
236	1619	5214
237	1624	5199
238	1632	5199
239	1638	5188
240	1646	5184
241	1651	5173
242	1655	5158
243	1662	5149
244	1666	5135
245	1671	5122
246	1677	5113
247	1682	5102
248	1688	5092
249	1696	5088
250	1700	5074
251	1704	5060
252	1710	5050
253	1715	5037
254	1719	5023
255	1724	5013
256	1740	5032
257	1745	5018
258	1749	5005
259	1753	4991
260	1759	4981
261	1767	4978
262	1773	4969
263	1778	4957
264	1782	4943
265	1788	4934
266	1793	4923
267	1798	4912
268	1803	4901
269	1807	4887
270	1812	4874
271	1816	4861
272	1825	4860
273	1829	4848
274	1836	4840
275	1855	4866
276	1871	4883
277	1898	4930
278	1913	4944
279	1927	4956
280	1935	4952
281	1942	4946
282	1950	4941
283	1954	4928
284	1960	4917
285	1966	4910
286	1972	4899
287	1976	4887
288	1982	4878
289	1988	4867
290	1992	4854
291	1998	4844
292	2003	4835
293	2010	4828
294	2018	4824
295	2023	4811
296	2028	4802
297	2035	4795
298	2040	4783
299	2046	4775
300	2053	4769
301	2062	4766
302	2067	4756
303	2072	4744
304	2080	4741
305	2086	4732
306	2091	4720
307	2097	4713
308	2103	4703
309	2108	4693
310	2112	4681
311	2117	4668
312	2122	4657
313	2126	4645
314	2130	4633
315	2135	4621
316	2140	4612
317	2145	4600
318	2149	4589
319	2155	4580
320	2161	4571
321	2166	4560
322	2171	4552
323	2176	4541
324	2181	4530
325	2186	4520
326	2192	4512
327	2196	4500
328	2202	4492
329	2207	4481
330	2211	4470
331	2216	4458
332	2223	4453
333	2227	4441
334	2233	4434
335	2237	4422
336	2249	4425
337	2254	4416
338	2259	4404
339	2267	4401
340	2272	4391
341	2278	4384
342	2286	4379
343	2291	4370
344	2296	4360
345	2301	4349
346	2305	4338
347	2309	4327
348	2315	4319
349	2320	4309
350	2325	4300
351	2331	4291
352	2335	4281
353	2340	4270
354	2345	4261
355	2350	4251
356	2354	4241
357	2359	4231
358	2364	4220
359	2368	4210
360	2372	4200
361	2378	4192
362	2383	4182
363	2387	4171
364	2393	4164
365	2398	4154
366	2402	4144
367	2408	4135
368	2412	4125
369	2416	4114
370	2420	4103
371	2426	4096
372	2431	4086
373	2435	4076
374	2441	4068
375	2445	4058
376	2449	4048
377	2460	4048
378	2464	4038
379	2477	4041
380	2488	4042
381	2494	4035
382	2499	4026
383	2505	4019
384	2509	4009
385	2514	3999
386	2519	3991
387	2524	3981
388	2528	3971
389	2533	3962
390	2538	3954
391	2544	3947
392	2549	3937
393	2555	3929
394	2559	3919
395	2563	3910
396	2569	3903
397	2574	3893
398	2578	3883
399	2584	3876
400	2589	3867
401	2594	3858
402	2600	3852
403	2604	3843
404	2609	3833
405	2615	3826
406	2620	3817
407	2624	3808
408	2630	3800
409	2634	3791
410	2638	3781
411	2643	3772
412	2649	3765
413	2653	3756
